Rank,Creator_URL,Creator,Creator1,Patrons,DaysRunning,Launched
159,https://graphtreon.com/creator/theliturgists,The Liturgists is creating The Liturgists Podcast and Community (theliturgists),The Liturgists,4247,1743,Nov-15
160,https://graphtreon.com/creator/radiowarnerd,Gary Brecher is creating Radio War Nerd Podcast (radiowarnerd),Gary Brecher,4239,1820,Aug-15
161,https://graphtreon.com/creator/pinktea,Pink Tea Games is creating Adult Games (pinktea)nsfw,Pink Tea Games,4236,1556,May-16
162,https://graphtreon.com/creator/ManlyMarco,ManlyMarco is creating game mods (ManlyMarco)nsfw,ManlyMarco,4234,633,Nov-18
163,https://graphtreon.com/creator/noclip,Noclip is creating Video Game Documentaries  (noclip),Noclip,4233,1428,Sep-16
164,https://graphtreon.com/creator/electroboom,ElectroBOOM [Mehdi Sadaghdar] is creating the funniest educational videos in the universe and beyond (electroboom),ElectroBOOM [Mehdi Sadaghdar],4211,1693,Dec-15
165,https://graphtreon.com/creator/badobsessionmotorsport,Bad Obsession Motorsport is creating automotive related video (badobsessionmotorsport),Bad Obsession Motorsport,4211,2082,Nov-14
166,https://graphtreon.com/creator/easygerman,Easy German is creating videos and a podcast for learning German (easygerman),Easy German,4210,1896,Jun-15
167,https://graphtreon.com/creator/GameMakersToolkit,Game Maker's Toolkit (GMTK) is creating videos on game design (GameMakersToolkit),Game Maker's Toolkit (GMTK),4208,1971,Mar-15
168,https://graphtreon.com/creator/dynamicdungeons,Dynamic Dungeons is creating animated maps for tabletop RPG and miniature games (dynamicdungeons),Dynamic Dungeons,4206,963,Dec-17
169,https://graphtreon.com/creator/lifeofaman,Ð–Ð¸Ð·Ð½ÑŒ Ñ‡ÐµÐ»Ð¾Ð²ÐµÐºÐ° is creating creating videos and art about surviving cancer  (lifeofaman),Ð–Ð¸Ð·Ð½ÑŒ Ñ‡ÐµÐ»Ð¾Ð²ÐµÐºÐ°,4182,218,Jan-20
170,https://graphtreon.com/creator/whoweekly,Who? Weekly is creating podcasts (whoweekly),Who? Weekly,4177,657,Oct-18
171,https://graphtreon.com/creator/OniArtist,Oni is creating Artwork and an Ero-Game (OniArtist)nsfw,Oni,4126,2113,Oct-14
172,https://graphtreon.com/creator/smartereveryday,Smarter Every Day is creating Science Videos (smartereveryday),Smarter Every Day,4089,2464,Nov-13
173,https://graphtreon.com/creator/twoseven,"TwoSeven is creating a website to watch videos together (Netflix, Amazon, HBO, etc) (twoseven)",TwoSeven,4079,532,Feb-19
174,https://graphtreon.com/creator/LaVagabonde,Sailing La Vagabonde is creating an adventurous voyage around the globe  (LaVagabonde),Sailing La Vagabonde,4069,2034,Jan-15
175,https://graphtreon.com/creator/Goatsofanarchy,Goats of Anarchy is creating a sanctuary for goats with special needs (Goatsofanarchy),Goats of Anarchy,4053,1089,Aug-17
176,https://graphtreon.com/creator/derpixon,Derpixon is creating  Art and Animation (derpixon)nsfw,Derpixon,4052,1464,Aug-16
177,https://graphtreon.com/creator/yuzuteam,yuzu Team is creating a Nintendo Switch emulator (yuzuteam),yuzu Team,4048,939,Jan-18
178,https://graphtreon.com/creator/theofficialpodcast,The Boys is creating The Official Podcast (theofficialpodcast),The Boys,4035,1258,Mar-17
179,https://graphtreon.com/creator/citationsneededpodcast,Adam Johnson & Nima Shirazi is creating Citations Needed (citationsneededpodcast),Adam Johnson & Nima Shirazi,4016,1095,Aug-17
180,https://graphtreon.com/creator/Top5sOffical,"Top5s & Then Some... is creating Videos, Investigations & Documentaries (Top5sOffical)",Top5s & Then Some...,4012,268,Nov-19
181,https://graphtreon.com/creator/circlingbackpodcast,Circling Back is creating podcasts. (circlingbackpodcast),Circling Back,4003,577,Jan-19
182,https://graphtreon.com/creator/hardcoded,Ghosthug Games is creating Hardcoded (hardcoded)nsfw,Ghosthug Games,3994,922,Jan-18
183,https://graphtreon.com/creator/NowYouKnow,Now You Know is creating Sustainable Technology Videos (NowYouKnow),Now You Know,3975,1467,Aug-16
184,https://graphtreon.com/creator/tryguys,"The Try Guys is creating an independent digital production company, pants optional. (tryguys)",The Try Guys,3950,786,Jun-18
185,https://graphtreon.com/creator/waitbutwhy,Wait But Why is creating high-quality blog posts (waitbutwhy),Wait But Why,3948,1879,Jun-15
186,https://graphtreon.com/creator/CandRsenal,C&Rsenal is creating A Historical Firearms Cache (CandRsenal),C&Rsenal,3927,1889,Jun-15
187,https://graphtreon.com/creator/CardlinAudio,CardlinAudio is creating ASMR Roleplay Audios and Erotica (CardlinAudio)nsfw,CardlinAudio,3924,1706,Dec-15
188,https://graphtreon.com/creator/bayridgeboys,The Bay Ridge Boys is creating Videos and Podcasts (bayridgeboys)nsfw,The Bay Ridge Boys,3914,918,Feb-18
